scorer,model,threshold,n_all,grounding_rate,vlm_n,vlm_prec,vlm_rec,vlm_f1,vlm_acc,human_n,human_prec,human_rec,human_f1,human_acc
clip,MM,0.33823,3910,0.0033,3910,0.8462,0.0065,0.0128,0.5662,200,0.0,0.0,0.0,0.045
clip,TXT,0.33823,2686,0.0004,2686,1.0,0.0011,0.0021,0.6497,200,1.0,0.0054,0.0108,0.085
clip,MM,0.34145,3910,0.0023,3910,0.8889,0.0047,0.0093,0.5657,200,0.0,0.0,0.0,0.045
clip,TXT,0.34145,2686,0.0004,2686,1.0,0.0011,0.0021,0.6497,200,1.0,0.0054,0.0108,0.085
clip,MM,0.34467,3910,0.0013,3910,0.8,0.0023,0.0047,0.5647,200,0.0,0.0,0.0,0.045
clip,TXT,0.34467,2686,0.0004,2686,1.0,0.0011,0.0021,0.6497,200,1.0,0.0054,0.0108,0.085
clip,MM,0.34788,3910,0.0003,3910,1.0,0.0006,0.0012,0.5642,200,0.0,0.0,0.0,0.045
clip,TXT,0.34788,2686,0.0004,2686,1.0,0.0011,0.0021,0.6497,200,1.0,0.0054,0.0108,0.085
clip,MM,0.3511,3910,0.0,3910,0.0,0.0,0.0,0.5639,200,0.0,0.0,0.0,0.045
clip,TXT,0.3511,2686,0.0,2686,0.0,0.0,0.0,0.6493,200,0.0,0.0,0.0,0.08
